PCA_1,PCA_2,PCA_3
-12420.07230250922,-870.9871142225704,-280.3257901228284
-11634.015661467538,-874.2021647796287,20.837294318270153
-12000.023957909672,-872.6437208310273,-175.73676174555789
-12000.029827214052,-871.9922789130943,57.12873082202026
-12287.019499250195,-870.1230138771756,-192.35282421263568
-12249.013329101472,-869.166282410862,-97.69986923902341
-12306.02759918964,-868.6218412708661,162.81845595242174
-12529.013332291008,-866.9710198456748,160.2799026521197
-12452.013310734597,-867.1024891677815,162.17452967885697
-12463.082769487226,-863.7582565636062,121.20887267177778
-10392.999420531041,-868.2224281319185,-18.224384379406587
-12424.059071502412,-861.1684110383062,-155.04939417324175
-12291.010327724463,-863.2471020562253,-108.12178987645729
-12253.996435926441,-862.1582148840174,32.76091809022125
-12404.061909645174,-858.574984664297,96.35343111952392
-12189.001361942925,-861.4966351196971,139.3280462266814
-11999.003887209434,-860.678611863227,-154.1639843048498
-11999.010203604517,-860.0476687022425,92.3992441241428
-12183.988383975007,-858.1482493744709,-99.39212856403573
-11999.9996180338,-857.7195830833584,-125.77812296884717
-11998.997089999386,-856.6847855067032,-150.23441379317308
-11999.00350219962,-856.0582349364931,99.26404374897976
-12447.038737410672,-850.9975457212688,-240.1902877826346
-12003.99588027096,-853.8594071015327,-27.921096283284044
-12443.042434704399,-849.3325967904223,-21.0186727056971
-11633.977574241173,-852.2039074863995,20.924918635983886
-12003.986950157403,-850.6883337031535,-142.38308292593615
-12003.993138812286,-850.0515337544693,100.26650668550946
-12424.027284014997,-844.982261255027,-280.2221095582263
-12432.975905707588,-847.0080586352057,76.15354253786859
-12382.027449170198,-843.2232512100139,-164.82290113892338
-11962.980888338909,-846.7961089154832,-117.90818528791371
-11962.973641921482,-846.6377242557818,-120.00100123804985
-11962.974470083474,-846.6558253597476,-119.76182227232002
-11962.973227840486,-846.6286737037989,-120.12059072091478
-11962.975091204968,-846.6694011877221,-119.58243804802262
-11573.967838053597,-847.1696842513793,-121.86675097823333
