PCA_1,PCA_2,PCA_3
-40092.19528746605,-315.9581460834015,-0.9461756032542326
-40091.23964595795,-351.5530329335015,-14.271696149255149
-40091.23711061478,-349.5548138828017,-14.354566056514159
-40091.234575510025,-347.55659483210184,-14.437435963773169
-40091.20415639877,-323.3703957237303,-10.434053578661405
-40090.034215688705,600.5957670826465,-6.77290578042448
-40090.03168272972,602.770634546876,-2.452247378692846
-40090.81756544113,-17.308492681011558,9.102878645033343
-40090.821365594864,-20.513350191526115,4.2317120182851795
-40090.81503152847,-15.191068902611732,11.81371607093024
-40090.818831920624,-18.39592641312629,6.9425494441675255
-40090.820098638535,-19.454638302326202,5.5871307312190766
-40090.8162984848,-16.249780791811645,10.458297357981792
-40090.81376481056,-14.13235701317899,13.16913478387869
-40091.183881521225,-306.8482220431324,1.474670162453549
-40091.182614803314,-305.7895101539325,2.830088875401998
-40091.230786561966,-343.6574367110152,12.899133262879332
-40091.22950553894,-343.63702852022834,-14.29629097074212
-40091.2282333374,-342.9847397871781,-23.783684470152366
-40091.2257065773,-340.38552071526647,-6.750466821831651
-40091.181347846985,-304.7307982647326,4.185507588350447
-40090.03294944763,601.7119226574432,-3.8076660916412948
-40091.223175764084,-338.1022419144865,1.4287354593689088
-40090.807425022125,-9.21218152390793,9.48239200565149
-40090.80615758896,-8.213071998674423,9.440957052021986
-40090.02027630806,611.9105468455236,0.7734558597294381
-40091.201622247696,-321.2816937880125,-8.528126640696428
-40091.199088811874,-319.13554816669784,-5.012378726882162
-40090.02027630806,611.9105468455236,0.7734558597294381
-40091.201622247696,-321.2816937880125,-8.528126640696428
-40091.199088811874,-319.13554816669784,-5.012378726882162
-40090.02027630806,611.9105468455236,0.7734558597294381
-40091.201622247696,-321.2816937880125,-8.528126640696428
-40091.199088811874,-319.13554816669784,-5.012378726882162
-40090.02027630806,611.9105468455236,0.7734558597294381
-40091.201622247696,-321.2816937880125,-8.528126640696428
-40091.199088811874,-319.13554816669784,-5.012378726882162
-40090.02027630806,611.9105468455236,0.7734558597294381
-40090.02027630806,611.9105468455236,0.7734558597294381
-40091.201622247696,-321.2816937880125,-8.528126640696428
-40091.199088811874,-319.13554816669784,-5.012378726882162
-40090.02027630806,611.9105468455236,0.7734558597294381
-40091.201622247696,-321.2816937880125,-8.528126640696428
-40091.199088811874,-319.13554816669784,-5.012378726882162
-40090.02027630806,611.9105468455236,0.7734558597294381
-40091.201622247696,-321.2816937880125,-8.528126640696428
